TAl_mgL,TBa_mgL,TCu_mgL,TSr_mgL,DO_mgL,Turbidity_NTU,Lag1_Rain_Total_mm,Date_fake
1.4080008615086954,-1.1064352615322444,-0.36285181824853735,-1.4201481069383082,-0.2866273285950734,-0.19663956256432927,-0.24978833031637898,2020-06-12
1.4080008615086954,-1.1064352615322444,-0.36285181824853735,-1.4201481069383082,-0.2866273285950734,-0.19663956256432927,1.737708307193233,2020-06-19
1.4080008615086954,-1.1064352615322444,-0.36285181824853735,-1.4201481069383082,-0.2905998945518909,-0.16229569759591062,1.9755284176644685,2020-06-26
1.0207522185134288,-0.797039665348709,-0.36285181824853735,-1.1026353188016949,-0.29566547808406674,-0.54694468057343,-0.9462615109821405,2020-07-03
1.1291818385521042,-1.1359015087878186,-0.36285181824853735,-1.1661378764290173,-0.2991326998528993,-0.6402833070078144,-0.9462615109821405,2020-07-10
0.4476242268804365,-1.2439444153915928,-0.36285181824853735,-1.0391327611743715,-0.2779796051153471,-0.6904797406280586,-0.6319992221451506,2020-07-17
0.7961480055761748,-0.2420920087020514,-0.36285181824853735,-0.1500969543918532,-0.2991822786773537,-0.39564114916230203,-0.4706212900396692,2020-07-24
0.23850995966299302,-0.14387118451680214,-0.36285181824853735,-0.08659439676452967,-0.30217055486710287,-0.008909354464878743,-0.17334615195062464,2020-07-31
0.9433024899143757,0.528941461152154,-0.36285181824853735,0.6754362947633438,-0.29947627823910616,-0.2860850531654663,0.6250499332028093,2020-08-07
-1.008430670781762,-0.14878222572606475,-0.36285181824853735,0.421426064254053,-0.30213499894607204,-0.21406171783632333,-0.564050619153369,2020-08-14
-0.47402754344829545,0.03292629901664593,-0.36285181824853735,-0.02309183913720725,-0.3000244613289688,-0.07208452497921472,0.9053379205439084,2020-08-21
-0.4817725163082015,-0.11440493726122725,-0.36285181824853735,-0.08659439676452967,-0.30093273568874396,0.4695566509853505,-0.8613257572424134,2020-08-28
-0.6211820277864966,0.37669918366501826,-0.36285181824853735,0.294420948999407,-0.2990252380055668,-0.3514130988161556,1.0497287019014445,2020-09-04
-0.47402754344829573,0.5780518732447794,1.6328331821184177,0.45317734306771085,-0.2941072769070072,-0.25942126542146693,-0.9462615109821405,2020-09-11
-0.32687305911009457,0.7794045628245397,3.6285181824853736,0.6119337371360147,-0.2891893158084476,-0.1674294320267783,-0.6659735236410412,2020-09-18
-0.7334841342551236,0.7216998286157054,1.6328331821184177,0.7389388523906628,-0.289461377539496,-0.22305202899898205,-0.9377679356081677,2020-09-25
-1.1400952094001522,0.6639950944068718,-0.36285181824853735,0.8659439676453121,-0.2897334392705445,-0.2786746259711858,1.5508496489658339,2020-10-02
-1.391806827347075,1.207892908332689,-0.36285181824853735,1.278710592222909,-0.28262534233119874,-0.3718322811033352,-0.9462615109821405,2020-10-09
-1.6435184452939975,1.7517907222585063,-0.36285181824853735,1.6914772168005079,-0.27551724539185285,-0.46498993623548457,0.4466848503493825,2020-10-16
-1.2175449379992056,2.0120759063494162,-0.36285181824853735,1.6914772168005079,-0.2757173600976241,-0.5474179993716702,-0.9462615109821405,2020-10-23
-0.1681011154820357,0.16797993227136362,-0.36285181824853735,0.2944209489994059,1.853404292598604,1.6857734560433648,-0.24129475494240624,2020-10-30
0.8813427070351341,-1.6761160418066892,-0.36285181824853735,-1.1026353188016949,3.9825259452948325,3.918964911458401,1.2365873601288435,2020-11-06
